epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1023.62,1.46214,1.47534,1.46589,0.66018,0.68844,0.69497,0.37869,1.51873,1.30637,1.50087,0.0011684,0.0011684,0.0011684
44,1047.21,1.44913,1.48567,1.4659,0.69957,0.69417,0.69841,0.38259,1.49352,1.30999,1.47109,0.0011486,0.0011486,0.0011486
45,1070.83,1.44297,1.47437,1.45636,0.64132,0.71606,0.67989,0.38532,1.45211,1.33106,1.48385,0.0011288,0.0011288,0.0011288
46,1094.38,1.44331,1.46263,1.45459,0.67456,0.70631,0.71498,0.41901,1.4398,1.21264,1.46697,0.001109,0.001109,0.001109
47,1118.03,1.4337,1.4645,1.45717,0.70218,0.69243,0.72359,0.43109,1.40188,1.27144,1.43728,0.0010892,0.0010892,0.0010892
48,1141.72,1.42832,1.42968,1.44336,0.72497,0.69099,0.75514,0.45279,1.39383,1.20436,1.4389,0.0010694,0.0010694,0.0010694
49,1165.54,1.40891,1.41686,1.43198,0.69051,0.72024,0.72098,0.42568,1.42137,1.27895,1.46363,0.0010496,0.0010496,0.0010496
50,1189.13,1.43574,1.44561,1.4468,0.77361,0.63835,0.74056,0.43799,1.44237,1.2076,1.4539,0.0010298,0.0010298,0.0010298
51,1212.68,1.4163,1.41063,1.43574,0.74861,0.71117,0.76377,0.45987,1.36743,1.17368,1.40987,0.00101,0.00101,0.00101
52,1236.41,1.38268,1.38433,1.42757,0.76162,0.71602,0.76445,0.44035,1.40815,1.17269,1.43355,0.0009902,0.0009902,0.0009902
53,1260.01,1.38483,1.34737,1.4067,0.74928,0.73986,0.77437,0.46886,1.3731,1.11982,1.41128,0.0009704,0.0009704,0.0009704
54,1283.7,1.39518,1.37888,1.42081,0.74462,0.72087,0.76315,0.4563,1.39239,1.16932,1.44957,0.0009506,0.0009506,0.0009506
55,1307.31,1.36659,1.38386,1.40646,0.67741,0.72885,0.73608,0.4339,1.36605,1.21988,1.40912,0.0009308,0.0009308,0.0009308
56,1330.92,1.3657,1.33803,1.39932,0.70641,0.75971,0.77331,0.48092,1.30242,1.07978,1.36612,0.000911,0.000911,0.000911
57,1354.61,1.34916,1.30175,1.38671,0.74183,0.69417,0.77222,0.47854,1.34284,1.13318,1.38828,0.0008912,0.0008912,0.0008912
58,1378.24,1.35841,1.32279,1.38895,0.78839,0.74029,0.79722,0.49693,1.29374,1.11347,1.35332,0.0008714,0.0008714,0.0008714
59,1401.95,1.35167,1.3154,1.38263,0.76915,0.72784,0.78603,0.4794,1.31886,1.10011,1.38581,0.0008516,0.0008516,0.0008516
60,1425.55,1.35642,1.31845,1.39443,0.76224,0.72573,0.78189,0.48608,1.29868,1.08497,1.35867,0.0008318,0.0008318,0.0008318
61,1449.13,1.37,1.35163,1.40465,0.77134,0.76145,0.82055,0.51035,1.28273,1.0413,1.34954,0.000812,0.000812,0.000812
62,1472.8,1.32299,1.29528,1.38436,0.76282,0.76504,0.81701,0.4965,1.31789,1.06365,1.37927,0.0007922,0.0007922,0.0007922
63,1496.43,1.31922,1.28469,1.37295,0.71506,0.77358,0.78182,0.48216,1.27886,1.09863,1.37824,0.0007724,0.0007724,0.0007724
64,1520.02,1.33163,1.29019,1.37526,0.7417,0.75243,0.78039,0.47537,1.3424,1.08437,1.41134,0.0007526,0.0007526,0.0007526
65,1543.62,1.31226,1.28225,1.36654,0.77654,0.74757,0.8075,0.50586,1.27238,1.04434,1.3485,0.0007328,0.0007328,0.0007328
66,1567.23,1.31654,1.27553,1.36906,0.74022,0.78398,0.79813,0.4998,1.29451,1.05583,1.34412,0.000713,0.000713,0.000713
67,1590.83,1.30867,1.2446,1.36218,0.7921,0.77679,0.80696,0.51816,1.26612,0.9901,1.35293,0.0006932,0.0006932,0.0006932
68,1614.51,1.30647,1.22452,1.3611,0.75974,0.7675,0.80273,0.50042,1.30141,1.0566,1.38612,0.0006734,0.0006734,0.0006734
69,1638.1,1.28901,1.23108,1.3443,0.79103,0.79854,0.81768,0.5164,1.29696,1.02053,1.3619,0.0006536,0.0006536,0.0006536
70,1661.66,1.28844,1.21391,1.35438,0.76584,0.81763,0.84042,0.51804,1.28292,0.98253,1.35736,0.0006338,0.0006338,0.0006338
71,1685.33,1.26533,1.19827,1.33556,0.81745,0.76084,0.8338,0.53153,1.25622,1.00132,1.33978,0.000614,0.000614,0.000614
