epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5272.82,1.54777,1.54435,1.51154,0.58461,0.56012,0.58257,0.29518,1.58086,1.31301,1.53047,0.005842,0.005842,0.005842
44,5395.11,1.54717,1.52436,1.5045,0.60836,0.56554,0.59561,0.30202,1.58773,1.31809,1.5377,0.005743,0.005743,0.005743
45,5517.44,1.52782,1.511,1.49186,0.61263,0.56641,0.59331,0.29902,1.59778,1.30787,1.54409,0.005644,0.005644,0.005644
46,5639.75,1.53303,1.51314,1.49831,0.61838,0.57708,0.60233,0.30524,1.58882,1.30394,1.54296,0.005545,0.005545,0.005545
47,5762.12,1.53047,1.50975,1.49196,0.6452,0.55537,0.60998,0.30757,1.59001,1.2796,1.53958,0.005446,0.005446,0.005446
48,5884.36,1.51965,1.48857,1.49148,0.5996,0.57682,0.60484,0.30666,1.59032,1.28865,1.54134,0.005347,0.005347,0.005347
49,6006.6,1.5181,1.48133,1.49074,0.6077,0.58506,0.60803,0.3097,1.59243,1.28362,1.53755,0.005248,0.005248,0.005248
50,6128.9,1.50718,1.47076,1.48133,0.64161,0.54991,0.61243,0.30862,1.59072,1.27815,1.54229,0.005149,0.005149,0.005149
51,6251.16,1.50959,1.45192,1.47643,0.60306,0.57776,0.61154,0.31074,1.58921,1.28233,1.53582,0.00505,0.00505,0.00505
52,6373.4,1.50023,1.45353,1.47799,0.60331,0.59103,0.61209,0.31554,1.5861,1.2694,1.54144,0.004951,0.004951,0.004951
53,6495.66,1.50111,1.44949,1.47145,0.58939,0.59022,0.60516,0.30733,1.58882,1.27688,1.5371,0.004852,0.004852,0.004852
54,6617.95,1.49204,1.43327,1.46582,0.63602,0.56397,0.61023,0.30903,1.59146,1.265,1.54204,0.004753,0.004753,0.004753
55,6740.27,1.48585,1.41259,1.46869,0.61341,0.57673,0.60607,0.30714,1.58952,1.26382,1.54599,0.004654,0.004654,0.004654
56,6862.58,1.48283,1.41029,1.46095,0.60945,0.57924,0.60601,0.31311,1.58601,1.25686,1.53983,0.004555,0.004555,0.004555
57,6984.88,1.46864,1.39915,1.45412,0.605,0.57849,0.61024,0.31374,1.58575,1.25036,1.53041,0.004456,0.004456,0.004456
58,7107.21,1.47063,1.38675,1.45368,0.60221,0.58847,0.60875,0.31174,1.59008,1.24943,1.53713,0.004357,0.004357,0.004357
59,7229.64,1.47508,1.38379,1.44964,0.60683,0.58635,0.60896,0.31132,1.59694,1.25035,1.53725,0.004258,0.004258,0.004258
60,7351.87,1.45836,1.36209,1.44199,0.62132,0.56918,0.60831,0.31284,1.59496,1.24459,1.53928,0.004159,0.004159,0.004159
61,7474.14,1.46687,1.37847,1.44861,0.63582,0.57334,0.61658,0.31587,1.58974,1.23944,1.53873,0.00406,0.00406,0.00406
62,7596.5,1.45294,1.35409,1.43966,0.64544,0.57603,0.62252,0.31686,1.59712,1.23372,1.5425,0.003961,0.003961,0.003961
63,7718.85,1.44854,1.34939,1.4326,0.64432,0.56701,0.62247,0.31826,1.60082,1.23337,1.54432,0.003862,0.003862,0.003862
64,7841.04,1.43986,1.34529,1.43195,0.65397,0.57053,0.61887,0.31639,1.59674,1.23741,1.54557,0.003763,0.003763,0.003763
65,7963.24,1.43741,1.33588,1.42896,0.62984,0.58534,0.61964,0.31811,1.59795,1.23376,1.54495,0.003664,0.003664,0.003664
66,8085.52,1.43068,1.31023,1.42121,0.63653,0.57072,0.61696,0.31749,1.60232,1.23112,1.54728,0.003565,0.003565,0.003565
67,8207.72,1.42864,1.31528,1.42403,0.62693,0.57941,0.61559,0.31644,1.60458,1.23102,1.55231,0.003466,0.003466,0.003466
68,8329.96,1.42583,1.30716,1.41945,0.62182,0.58817,0.61934,0.31798,1.5986,1.22513,1.54555,0.003367,0.003367,0.003367
69,8452.25,1.41825,1.28886,1.41305,0.61045,0.58585,0.61928,0.3189,1.60038,1.22369,1.54494,0.003268,0.003268,0.003268
70,8574.53,1.40515,1.2912,1.40731,0.60383,0.58759,0.61349,0.31734,1.60305,1.22654,1.54821,0.003169,0.003169,0.003169
71,8696.69,1.41045,1.28188,1.40852,0.60513,0.58486,0.60952,0.31499,1.60847,1.22432,1.55129,0.00307,0.00307,0.00307
72,8818.95,1.40182,1.27357,1.40391,0.6119,0.57196,0.61133,0.3147,1.60522,1.22189,1.55204,0.002971,0.002971,0.002971
73,8941.19,1.39032,1.2532,1.39652,0.6052,0.58141,0.61164,0.31503,1.60262,1.22631,1.55001,0.002872,0.002872,0.002872
74,9063.38,1.38721,1.25057,1.39807,0.62614,0.56889,0.61332,0.31678,1.60333,1.2253,1.5506,0.002773,0.002773,0.002773
75,9185.5,1.38266,1.24681,1.38628,0.63115,0.57187,0.61411,0.31594,1.60608,1.22859,1.55263,0.002674,0.002674,0.002674
76,9307.71,1.37873,1.23641,1.38748,0.62387,0.57296,0.61419,0.31655,1.60727,1.22817,1.55263,0.002575,0.002575,0.002575
77,9429.85,1.36719,1.21376,1.38255,0.60465,0.58873,0.6146,0.31654,1.61117,1.22509,1.55757,0.002476,0.002476,0.002476
78,9552.06,1.36419,1.20801,1.37827,0.61039,0.5832,0.61329,0.31625,1.61665,1.22075,1.56312,0.002377,0.002377,0.002377
79,9674.16,1.36059,1.2065,1.37865,0.61745,0.5809,0.61373,0.31626,1.61902,1.21716,1.56557,0.002278,0.002278,0.002278
80,9796.33,1.35883,1.19294,1.3743,0.59121,0.59779,0.61332,0.31608,1.62018,1.21548,1.56731,0.002179,0.002179,0.002179
81,9918.48,1.35094,1.1881,1.36844,0.62002,0.57863,0.61197,0.31639,1.62259,1.21596,1.57148,0.00208,0.00208,0.00208
82,10040.7,1.33762,1.15873,1.36059,0.6124,0.58517,0.61155,0.31645,1.6236,1.21335,1.57254,0.001981,0.001981,0.001981
83,10162.9,1.33279,1.17383,1.35955,0.62596,0.57933,0.61414,0.31681,1.62739,1.21179,1.57757,0.001882,0.001882,0.001882
84,10285,1.33087,1.16031,1.35989,0.61846,0.58228,0.61351,0.31654,1.63177,1.2121,1.58257,0.001783,0.001783,0.001783
85,10407.2,1.32751,1.15534,1.35735,0.6107,0.5865,0.6167,0.31739,1.63306,1.21116,1.58392,0.001684,0.001684,0.001684
86,10529.4,1.32273,1.13833,1.35143,0.61331,0.58651,0.61385,0.31701,1.63317,1.21438,1.58411,0.001585,0.001585,0.001585
87,10651.6,1.31838,1.13494,1.35056,0.62329,0.58204,0.61609,0.31807,1.63478,1.21413,1.58463,0.001486,0.001486,0.001486
88,10773.8,1.30522,1.11712,1.33766,0.61891,0.58798,0.61529,0.31822,1.63701,1.21517,1.58778,0.001387,0.001387,0.001387
